"Company Name",Website,"Job Title","Job URL"
"GXO Logistics, Inc",https://gxo.com/,"Class 1 Driver",https://jobs.gxo.com/job/Milton-Keynes-Class-1-Driver/1201346700/
"GXO Logistics, Inc",https://gxo.com/,"Class 1 Driver",https://jobs.gxo.com/job/Milton-Keynes-Class-1-Driver/1201346900/
"GXO Logistics, Inc",https://gxo.com/,"Senior Generalist, Human Resources - Goodyear, AZ",https://jobs.gxo.com/job/Goodyear-Senior-Generalist%2C-Human-Resources-Goodyear%2C-AZ-AZ-85395/1201447500/
"GXO Logistics, Inc",https://gxo.com/,"Specialist, Human Resources - 1st Shift",https://jobs.gxo.com/job/Chino-Specialist%2C-Human-Resources-1st-Shift-CA-91708/1201518200/
"GXO Logistics, Inc",https://gxo.com/,"Loss Prevention Lead",https://jobs.gxo.com/job/Horn-Lake-Loss-Prevention-Lead-MS-38637/1201599800/
"GXO Logistics, Inc",https://gxo.com/,"Specialist, Dispatch - 3rd Shift",https://jobs.gxo.com/job/Simi-Valley-Specialist%2C-Dispatch-3rd-Shift-CA-93065/1201504200/
"GXO Logistics, Inc",https://gxo.com/,"Driver Helper - 2nd Shift",https://jobs.gxo.com/job/Simi-Valley-Driver-Helper-2nd-Shift-CA-93065/1201506000/
"GXO Logistics, Inc",https://gxo.com/,"Driver Helper - 3rd Shift",https://jobs.gxo.com/job/Simi-Valley-Driver-Helper-3rd-Shift-CA-93065/1201506300/
"GXO Logistics, Inc",https://gxo.com/,"Specialist, Dispatch - 2nd Shift",https://jobs.gxo.com/job/Simi-Valley-Specialist%2C-Dispatch-2nd-Shift-CA-93065/1201504900/
"GXO Logistics, Inc",https://gxo.com/,"Lead - Weekend Day Shift - Lebanon, IN",https://jobs.gxo.com/job/Lebanon-Lead-Weekend-Day-Shift-Lebanon%2C-IN-IN-46052/1201429800/
"GXO Logistics, Inc",https://gxo.com/,"First Line Manager",https://jobs.gxo.com/job/Harlow-First-Line-Manager/1201430900/
"GXO Logistics, Inc",https://gxo.com/,"Drivers Mate",https://jobs.gxo.com/job/Luton-Drivers-Mate/1201409600/
"GXO Logistics, Inc",https://gxo.com/,"Clerk II - 1st Shift",https://jobs.gxo.com/job/Manchester-Clerk-II-1st-Shift-NH-03103/1201726600/
